sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
AC,1200054,Assis Brasil,Satelite,2
AC,1200328,Jordão,Satelite,2
AC,1200435,Santa Rosa do Purus,Satelite,2
AM,1300102,Anori,Satelite,4
AM,1300607,Benjamin Constant,Satelite,4
AM,1300706,Boca do Acre,Satelite,4
AM,1301407,Eirunepé,Satelite,4
AM,1301506,Envira,Satelite,2
AM,1301605,Fonte Boa,Satelite,4
AM,1303007,Nhamundá,Satelite,4
AM,1303205,Novo Airão,Satelite,2
AM,1303502,Pauini,Satelite,2
AM,1303908,São Paulo de Olivença,Satelite,4
AM,1304005,Silves,Satelite,2
AM,1304260,Uarini,Satelite,2
PA,1501576,Bom Jesus do Tocantins,Satelite,4
PA,1501758,Brejo Grande do Araguaia,Satelite,2
PA,1502939,Dom Eliseu,Fibra,32
PA,1502954,Eldorado do Carajás,Fibra,16
PA,1506401,Santa Cruz do Arari,Satelite,2
PA,1507458,São Geraldo do Araguaia,Satelite,4
AP,1600055,Serra do Navio,Satelite,2
AP,1600154,Pedra Branca do Amapari,Satelite,2
AP,1600212,Cutias,Satelite,2
AP,1600238,Ferreira Gomes,Satelite,2
AP,1600535,Porto Grande,Satelite,2
AP,1600709,Tartarugalzinho,Fibra,37
MA,2103406,Coelho Neto,Radio,32
MA,2103505,Colinas,Fibra,32
MA,2103703,Cururupu,Radio,32
MA,2104073,Feira Nova do Maranhão,Satelite,2
MA,2105401,Itapecuru Mirim,Fibra,64
MA,2105708,Lago da Pedra,Radio,32
MA,2111573,São Pedro dos Crentes,Satelite,2
MA,2112704,Vargem Grande,Fibra,32
MA,2112803,Viana,Radio,32
PI,2201200,Barras,Radio,32
PI,2211100,União,Radio,32
CE,2300200,Acaraú,Fibra,64
CE,2302206,Beberibe,Fibra,32
CE,2304707,Granja,Fibra,32
CE,2305209,Hidrolândia,Radio,16
CE,2305803,Ipu,Radio,32
CE,2305902,Ipueiras,Radio,32
CE,2306553,Itarema,Fibra,32
CE,2308104,Mauriti,Radio,32
CE,2310506,Pedra Branca,Fibra,32
CE,2312205,Santa Quitéria,Radio,32
CE,2312304,São Benedito,Fibra,32
CE,2312403,São Gonçalo do Amarante,Fibra,32
CE,2313302,Tauá,Radio,32
CE,2313500,Trairi,Radio,32
CE,2314003,Várzea Alegre,Fibra,32
CE,2314102,Viçosa do Ceará,Radio,32
RN,2412203,São José de Mipibu,Fibra,32
PB,2503704,Cajazeiras,Fibra,100
PE,2602100,Bom Conselho,Radio,32
PE,2602605,Brejo da Madre de Deus,Radio,32
PE,2602803,Buíque,Radio,32
PE,2605459,Fernando de Noronha,Satelite,2
PE,2610608,Paudalho,Fibra,32
PE,2613008,São Bento do Una,Radio,32
AL,2709301,União dos Palmares,Radio,64
SE,2807105,Simão Dias,Radio,32
SE,2807402,Tobias Barreto,Radio,32
BA,2902906,Barra do Choça,Radio,32
BA,2910503,Entre Rios,Fibra,32
BA,2910701,Euclides da Cunha,Fibra,100
BA,2918456,Jucuruçu,Satelite,2
BA,2919801,Macaúbas,Radio,32
BA,2920452,Mansidão,Satelite,2
BA,2931905,Tucano,Radio,32
ES,3205101,Viana,Fibra,64
RJ,3304755,São Francisco de Itabapoana,Radio,32
MT,5103106,Cocalinho,Satelite,2
